Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,81000004;5,00564600;4,13861500;7,00125100;0,08026368
0,81200004;4,99496500;4,12823900;7,00125100;0,08026368
0,81400004;5,01632700;4,13861500;7,00125100;0,04333628
0,81600004;5,00045800;4,13861500;6,99575800;-0,00946074
0,81800004;5,01113900;4,13861500;7,00643900;-0,04638813
0,82000004;5,00564600;4,13861500;7,01193300;-0,08362071
0,82200004;4,98428300;4,12823900;7,00125100;-0,07843257
0,82400004;4,99496500;4,13342700;7,00125100;-0,03601184
0,82600004;5,00045800;4,12823900;6,99575800;0,01678518
0,82800004;4,98977600;4,13342700;6,99575800;0,05371258
0,83000004;4,99496500;4,14410800;7,00125100;0,08545183
0,83200004;4,98977600;4,13342700;7,00643900;0,08026368
0,83400004;5,00564600;4,12274600;6,99575800;0,05371258
0,83600004;5,00045800;4,12823900;7,01193300;-0,02014222
0,83800004;4,98977600;4,13342700;6,99057000;-0,05188147
0,84000004;5,00045800;4,13342700;6,99575800;-0,09430219
0,84200004;5,00045800;4,13861500;7,00125100;-0,06775109
0,84400004;5,00564600;4,13342700;7,00643900;-0,04119999
0,84600004;5,00564600;4,13861500;6,99575800;0,01129185
0,84800004;5,00045800;4,13861500;7,00125100;0,04852443
0,85000004;5,01113900;4,13861500;7,00125100;0,08545183
0,85200004;4,99496500;4,13342700;6,99057000;0,08026368
0,85400004;5,01113900;4,14410800;7,00643900;0,03784295
0,85600004;5,01113900;4,13342700;6,99057000;-0,00946074
0,85800004;5,00045800;4,13861500;6,99057000;-0,03051851
0,86000004;5,00045800;4,14929700;7,00643900;-0,08880886
0,86200004;5,00564600;4,13861500;7,00125100;-0,07843257
0,86400004;5,00045800;4,13342700;6,99575800;-0,04638813
0,86600004;4,98977600;4,13861500;7,00643900;0,02197333
0,86800004;5,00564600;4,13342700;7,00643900;0,04333628
0,87000004;5,00564600;4,14410800;6,99575800;0,09094515
0,87200004;4,99496500;4,12823900;7,00125100;0,08026368
0,87400004;5,00045800;4,14410800;6,99575800;0,04333628
0,87600004;5,00045800;4,12823900;7,00643900;-0,00427259
0,87800004;5,00564600;4,13861500;7,00643900;-0,04119999
0,88000004;4,99496500;4,12823900;7,00125100;-0,09430219
0,88200004;5,00045800;4,13342700;7,00125100;-0,07843257
0,88400004;5,00564600;4,13342700;7,00643900;-0,04638813
0,88600004;5,00564600;4,13861500;6,99575800;0,01678518
0,88800004;5,01113900;4,14929700;6,99575800;0,04852443
0,89000004;4,99496500;4,13861500;6,99575800;0,08026368
0,89200004;5,00564600;4,14410800;6,99575800;0,08026368
0,89400004;5,00564600;4,12823900;6,99575800;0,04852443
0,89600004;5,00564600;4,12823900;6,99057000;-0,01464888
0,89800004;5,00045800;4,13861500;6,99057000;-0,04638813
